Hyperparameter Evaluation Log

Program finished in 44.945249199998216 seconds
Best parameters: {'n_estimators': 95, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.966903073286052
Params: {'n_estimators': 32, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.950354609929078
Params: {'n_estimators': 63, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9598108747044918
Params: {'n_estimators': 11, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.91725768321513
Params: {'n_estimators': 47, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.950354609929078
Params: {'n_estimators': 86, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9314420803782506
Params: {'n_estimators': 11, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.8912529550827423
Params: {'n_estimators': 96, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9314420803782506
Params: {'n_estimators': 12, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.8959810874704491
Params: {'n_estimators': 32, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9408983451536643
Params: {'n_estimators': 12, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 12, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.8841607565011821
Params: {'n_estimators': 91, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.950354609929078
Params: {'n_estimators': 47, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 12, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 32, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9361702127659575
Params: {'n_estimators': 63, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 12, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9101654846335697
Params: {'n_estimators': 12, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9054373522458629
Params: {'n_estimators': 32, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9243498817966903
Params: {'n_estimators': 48, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 12, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9101654846335697
Params: {'n_estimators': 86, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
