Program finished in 119.14147760003107 seconds
Best parameters: {'C': 0.018329807108324356, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9763593380614657
Params: {'C': 0.03359818286283781, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.4326241134751773
Params: {'C': 0.03359818286283781, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.640661938534279
Params: {'C': 0.03359818286283781, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.16548463356973994
Params: {'C': 0.03359818286283781, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 0.06158482110660264, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.7966903073286052
Params: {'C': 0.06158482110660264, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.7966903073286052
Params: {'C': 0.06158482110660264, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.5295508274231678
Params: {'C': 26.366508987303583, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9692671394799054
Params: {'C': 0.20691380811147891, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9574468085106383
Params: {'C': 0.20691380811147891, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.5200945626477541
Params: {'C': 0.20691380811147891, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.8037825059101655
Params: {'C': 545.5594781168514, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9692671394799054
Params: {'C': 0.20691380811147891, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.13238770685579196
Params: {'C': 0.20691380811147891, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 0.37926901907322497, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.8959810874704491
Params: {'C': 26.366508987303583, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9692671394799054
Params: {'C': 0.37926901907322497, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.8959810874704491
Params: {'C': 26.366508987303583, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.7588652482269503
Params: {'C': 0.01, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.7966903073286052
Params: {'C': 88.58667904100822, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9550827423167849
Params: {'C': 0.6951927961775606, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.950354609929078
Params: {'C': 88.58667904100822, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.8132387706855791
Params: {'C': 0.6951927961775606, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.5460992907801419
Params: {'C': 88.58667904100822, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9078014184397163
Params: {'C': 0.6951927961775606, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.8959810874704491
Params: {'C': 4.281332398719392, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9574468085106383
Params: {'C': 88.58667904100822, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.04018912529550828
Params: {'C': 0.6951927961775606, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.08274231678486997
Params: {'C': 4.281332398719392, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.6335697399527187
Params: {'C': 88.58667904100822, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 4.281332398719392, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9054373522458629
Params: {'C': 0.6951927961775606, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 1.2742749857031335, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.8936170212765957
Params: {'C': 4.281332398719392, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.0591016548463357
Params: {'C': 0.06158482110660264, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9739952718676123
Params: {'C': 1.2742749857031335, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.8936170212765957
Params: {'C': 0.01, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.7588652482269503
Params: {'C': 4.281332398719392, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
